""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"1769442_at"	5.79217172748417	5.52213866100295	5.47512918760567	5.60921502348435	5.78334973896061	5.71174919952108
"1769443_at"	5.07566084048502	5.50604476788057	5.72998512345006	5.2587420322817	5.78554363487572	5.13033248825234
"1769444_at"	1.16641506498668	1.19325603737034	1.45247750341484	1.05481809523451	1.31123248705166	1.10324278412237
"1769445_at"	1.53969303979652	1.56653401218018	1.55311352598835	1.55311352598835	1.55311352598835	1.55311352598835
"1769446_at"	6.00238306426905	4.82480992068247	5.44475600963933	5.72674716682462	4.82420139416345	6.05317108200902
"1769447_at"	1.28877797322154	1.4117509152008	1.14236973951663	1.4705062104489	1.5798799865108	1.36710550227024
"1769448_at"	7.73689634757528	7.82602969063309	7.8916256130163	7.87465010371477	7.48463309159211	7.67072931172852
"1769449_at"	1.29427466400482	1.26148173063951	1.5263888097588	1.35607636794912	1.32312077068731	1.10777845751352
"1769450_at"	9.03851290470788	7.2223641644228	7.09239468277289	8.89181541514764	7.29977756734449	9.05148565182792
"1769451_at"	7.03145925460939	6.61130974733101	6.69222124898329	7.1143208523194	6.59234350126405	6.93983644826093
"1769452_at"	7.98717934705154	7.85712611243764	7.79682224545099	7.84988187343128	7.88382500729143	7.98504718198304
"1769453_at"	1.60784808720604	2.43445285970136	2.50486299467026	2.1419113809444	2.05631515225953	1.76586079305095
"1769454_at"	1.19276911867824	1.40059658619633	1.62244572546985	1.25752619186538	1.46073531888171	1.19276911867824
"1769455_at"	9.87958802686468	10.3498700108287	10.6944292509215	9.77767000750992	10.7038098686723	9.97168321290171
"1769456_at"	5.91874919774483	5.4303226022639	5.41363162507426	6.06688087886095	5.42190567003065	6.04724761207292
"1769457_at"	1.96598694352116	1.99856755475955	2.12888834780882	2.01199934176121	2.13031773937999	1.75751679378731
"1769458_at"	1.79791961213388	1.69050920069548	1.93585123991984	1.65540876919902	1.44133266150625	1.88765429600203
"1769459_at"	6.62283820491667	6.23059086513074	6.20674520302438	6.41926196004765	6.19059809048074	6.53832554794476
"1769460_at"	8.41948366040144	5.50141735647884	5.47624888633395	8.37387565901003	5.50543623915471	8.30294256205066
"1769461_at"	2.13765248527403	1.64603780290352	1.7580021278905	1.52897811642903	1.69590792184666	1.77076783195976
"1769462_at"	9.47707254989337	7.787268978175	8.01901079845843	9.49816954799157	7.99380471219053	9.56428117973653
"1769463_at"	7.58678403241634	7.67690560193658	7.80378120565846	7.49200313969679	7.54788727866999	7.46134171663896
"1769464_at"	8.73657443315331	7.12471954719778	6.92840543629536	8.53129386320782	7.29960463249469	8.75222812893797
"1769465_at"	1.5103982867972	1.88258522846148	1.83228330055435	1.22950121000322	1.63328244216694	1.66841099264211
"1769466_at"	9.55258498293663	7.42272784395614	7.34977412772766	9.67144687117757	7.35020683922179	9.64927669974555
"1769467_at"	5.21095712273045	5.62382013481003	5.42663239072085	5.37179309803578	5.12790075391164	5.30183851867374
"1769468_at"	7.8398209709249	7.72735116428233	7.61526843897197	7.75766886746179	7.74801675665326	7.80958695005612
"1769469_at"	1.18393601762773	1.42607989655271	1.35121423986642	1.11346413671116	1.42554594530538	1.18393601762773
"1769470_at"	1.8277914391347	1.64082610250527	1.53798317693404	1.82704320354058	1.52601771082173	1.64082610250527
"1769471_at"	1.26025617174585	1.24141929532553	1.27964504620076	1.56198604804502	1.39619472217336	1.41774987206054
"1769472_at"	5.59721044919288	6.33262021117736	6.37755167791792	5.85241201240096	6.12778589637377	5.39492235037628
"1769473_at"	1.41919593188209	1.0999085317645	1.16389360620847	1.30982215582019	1.25106686057208	1.39251740887141
"1769474_at"	6.61190023126616	7.10798956445631	7.02576590434819	6.34597263189321	6.94885965562325	6.37024411351787
"1769475_at"	1.96667676011244	2.07018577932479	2.20705019672616	2.01762072620536	1.73221146338334	1.88885179928559
"1769476_at"	1.92738819857832	1.89416065524175	2.32115081377803	1.66627374317786	2.10547496507501	1.88035408600673
"1769477_at"	1.18227112556185	1.41571785128122	1.07883790656946	1.07883790656946	0.875944624492125	0.978041032823635
"1769478_at"	7.60822568329764	8.85698570928465	8.89442153088126	7.80680737707119	8.81117385330568	7.62741988723323
