F pVal sigma rank
1415913_at 3.90230455505379 0.0103105603537133 0.528072391964835 8790
1415914_at 2.15082533282811 0.0957859211752668 0.768792446050975 18901
1415915_at 6.23681669845422 0.000709231937060932 0.558706726183203 4347
1415916_a_at 2.77219046711949 0.0426953522584618 0.586472658886881 14293
1415917_at 1.19648540187944 0.330153745916689 0.231245488259417 26034
1415918_a_at 5.56287332073722 0.00148164864726953 0.660286993958503 5146
1415919_at 3.6287793395472 0.0144403083775317 0.350850104308488 9768
1415920_at 0.408296034367052 0.80136260636533 0.701067195948644 29488
1415921_a_at 1.69579548757318 0.173730867074443 0.188152988998069 22509
1415922_s_at 12.7671998688178 1.89879309633443e-06 0.85265994889251 1219
1415923_at 4.78191405466143 0.00360747718693985 0.506021930159673 6484
1415925_a_at 8.19136781437686 9.73279198313222e-05 0.377384221769188 2780
1415926_at 4.21623750001549 0.007046429009457 0.501843533108367 7836
1415928_a_at 6.03803583747172 0.000878798312746381 0.510109413724731 4553
1415929_at 3.77828066047275 0.0120048998779979 0.503204151480517 9212
1415930_a_at 6.77355562473231 0.000402306028595143 0.467533597633332 3852
1415932_x_at 1.25133373655966 0.308082666969051 0.138677795581682 25678
1415933_a_at 1.94218690029553 0.12588059471468 0.658637526475309 20558
1415934_at 1.82352801693348 0.147032163287267 0.468774232426863 21506
1415936_at 10.0502444011176 1.76692596878757e-05 0.276072566501617 1932
1415937_s_at 4.20545511996612 0.0071383925662818 0.228544872899331 7874
1415939_at 2.51180898113053 0.0598055593803517 0.209216111479305 16137
1415941_s_at 3.86866589948772 0.0107438857297822 0.350148675655107 8887
1415942_at 3.11537036978406 0.0275170731624993 0.724474769178658 12203
1415943_at 10.0178413753701 1.81779912805669e-05 0.459368223668079 1944
1415944_at 0.697112480723788 0.599247344206081 0.226393125257517 28588
1415946_at 3.14100749967936 0.0266354214994275 0.502003291445234 12060
1415948_at 1.35159914560268 0.271178565238464 0.818357810039167 25012
1415949_at 33.035731951822 2.81156759544392e-11 0.32225790535381 136
1415950_a_at 1.3850766923975 0.259797681794538 0.545034402102097 24793
1415951_at 3.91842111090391 0.0101094496083192 0.23825928826675 8732
1415953_s_at 1.1393308613847 0.354645853457452 0.227345886945254 26379
1415955_x_at 0.929192218813583 0.458585191146007 0.279561979192601 27522
1415956_a_at 5.09687182230565 0.00250770664940505 0.266868788180712 5907
1415960_at 3.9807375456488 0.00936954502495462 0.240751801960149 8552
1415961_at 1.27474985185692 0.299073868084029 0.201323341195411 25505
1415962_at 1.34263089548939 0.27430526286112 0.853234080738465 25067
1415963_at 0.898867494542142 0.475445379050392 0.477974038753873 27681
1415964_at 25.2846274118193 8.89902808704252e-10 0.425803910342572 282
1415966_a_at 0.646555527608735 0.633142851676637 0.652005190053839 28794
1415967_at 4.39683668024206 0.00567729769779883 0.438831363807721 7365
1415968_a_at 2.42097703480511 0.0673078468478078 0.47871636233497 16801
1415970_at 1.81326117210049 0.149019817021469 0.342697796041592 21601
1415971_at 24.4149501017857 1.37496669396213e-09 0.58169905306811 307
1415972_at 9.59628575313827 2.64088410422293e-05 0.924128712694314 2105
1415973_at 23.4531048836113 2.25432723243251e-09 0.609864592699536 347
1415974_at 11.4682285002629 5.32479979395228e-06 0.139733575649754 1507
1415975_at 12.9292331097211 1.67659003377415e-06 0.708223535443056 1187
1415976_a_at 1.99062731542165 0.118142420530743 0.197595246153649 20124
1415978_at 13.3053926394216 1.2601373402271e-06 0.55263283223937 1116
1415979_x_at 7.08266855409663 0.000292461991986492 0.464049358067317 3570
1415980_at 1.14745969722231 0.351067367879094 0.685591391954923 26334
1415981_at 1.32151182504196 0.281800723792839 0.512618836396568 25194
1415982_at 3.46053985439007 0.0178064699013224 0.166846475310476 10434
1415984_at 8.67998488216636 6.11660012790166e-05 0.568558050996502 2518
1415985_at 1.67243399821928 0.179103501347379 0.545505002230028 22688
1415986_at 1.27131238433824 0.300381136093852 0.720747045846626 25529
1415987_at 6.44644287198795 0.00056719881335669 0.21111137115137 4141
1415988_at 1.4295685569478 0.245363616168367 0.269186954729679 24483
1415989_at 1.80359958660026 0.150914504807705 0.171163771764664 21664
1415990_at 1.51026456005395 0.221097861926852 0.521832333459414 23911
1415991_a_at 6.81718017821878 0.000384474365322967 0.460243688306587 3803
1415992_at 1.16563994269068 0.343178883843786 0.150275394951174 26225
1415993_at 13.458685569591 1.12320632303311e-06 0.579973375765335 1081
1415995_at 10.2514202024633 1.48293316161663e-05 0.259072503316716 1846
1415996_at 5.48521835038814 0.00161587378891788 0.79092003952901 5249
1415997_at 3.89900376434889 0.0103522618475064 0.179772209389849 8810
